type,id,bnf_code,nm
amp,338311000001105,0802010G0AAADAD,Azathioprine 25mg tablets (Kent Pharmaceuticals Ltd)
amp,544611000001107,0802010G0AAADAD,Azathioprine 25mg tablets (Mylan)
amp,611111000001100,0802010G0AAADAD,Azathioprine 25mg tablets (Alliance Healthcare (Distribution) Ltd)
amp,744711000001104,0802010G0AAADAD,Azathioprine 25mg tablets (A A H Pharmaceuticals Ltd)
amp,3695011000001108,0802010G0AAADAD,Azathioprine 25mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,5866911000001101,0802010G0AAADAD,Azathioprine 25mg tablets (Actavis UK Ltd)
amp,8388611000001100,0802010G0AAADAD,Azathioprine 25mg tablets (Teva UK Ltd)
amp,13740711000001100,0802010G0AAADAD,Azathioprine 25mg tablets (Tillomed Laboratories Ltd)
amp,15070411000001103,0802010G0AAADAD,Azathioprine 25mg tablets (Sigma Pharmaceuticals Plc)
amp,17789111000001105,0802010G0AAADAD,Azathioprine 25mg tablets (Phoenix Healthcare Distribution Ltd)
amp,21780411000001106,0802010G0AAADAD,Azathioprine 25mg tablets (Waymade Healthcare Plc)
amp,22614111000001101,0802010G0AAADAD,Azathioprine 25mg tablets (DE Pharmaceuticals)
amp,24505211000001107,0802010G0AAADAD,Azathioprine 25mg tablets (Sandoz Ltd)
amp,29997811000001108,0802010G0AAADAD,Azathioprine 25mg tablets (Mawdsley-Brooks & Company Ltd)
amp,41911000001104,0802010G0AAAEAE,Azathioprine 50mg tablets (A A H Pharmaceuticals Ltd)
amp,178511000001107,0802010G0AAAEAE,Azathioprine 50mg tablets (IVAX Pharmaceuticals UK Ltd)
amp,339911000001103,0802010G0AAAEAE,Azathioprine 50mg tablets (Actavis UK Ltd)
amp,428011000001101,0802010G0AAAEAE,Azathioprine 50mg tablets (Sandoz Ltd)
amp,715511000001100,0802010G0AAAEAE,Azathioprine 50mg tablets (Teva UK Ltd)
amp,843311000001103,0802010G0AAAEAE,Azathioprine 50mg tablets (Mylan)
amp,863111000001105,0802010G0AAAEAE,Azathioprine 50mg tablets (Kent Pharmaceuticals Ltd)
amp,888811000001106,0802010G0AAAEAE,Azathioprine 50mg tablets (Alliance Healthcare (Distribution) Ltd)
